Sku id,Invoice No.,วันที่,เวลา,รหัสสินค้า,Serial,ชื่อสินค้า,กลุ่มสินค้า,จำนวน,Ratio,ราคา/หน่วย,รวมก่อนลด,ส่วนลด,รวมสุทธิ,ต้นทุนรวม,กำไร,ลูกค้า,พนักงาน,status,หมายเลขประจำเครื่อง
c016,PS001000894,12/2/17,17:37,9.31002E+12,,วิสกัสเม็ด-ปลาทูน่า 1.2kg,Pet,1,1,125,125,0,125,106,19,,Admin,A,1
k344,PS001000895,12/2/17,17:38,TS15,,เทนโซพล๊าส พลาสเตอร์ยา ผ้า,Medicine,2,1,1.5,3,0,3,2,1,,Admin,A,1
171106817 PMxysSra7caUzh8NrqEVa5,PS001000896,12/2/17,17:49,8.8504E+12,,เบอริน่า A29 ยาย้อมผม Berina,Beauty,1,1,50,50,0,50,35.5,14.5,,Admin,A,1
c052,PS001000897,12/2/17,17:55,8.85513E+12,,Kat-To ทรายแมว แอปเปิ้ล 5L แคทโตะ,Pet,1,1,85,85,0,85,57,28,,Admin,A,1
c010,PS001000898,12/2/17,17:58,9.31002E+12,,วิสกัส-ปลาทู+ปลาซาดีน กป. 400g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
c009,PS001000898,12/2/17,17:58,8.8533E+12,,วิสกัส-ปลาทูน่า กป. 400g,Pet,1,1,40,40,0,40,35,5,,Admin,A,1
f059,PS001000899,12/2/17,18:00,8.85015E+12,,มรกต-น้ำมันปาล์ม 1000cc,Food,3,1,36,108,0,108,86.25,21.75,,Admin,A,1
f026,PS001000899,12/2/17,18:00,8.85021E+12,,เด็ก-เต้าเจี้ยว สูตร 1 เจ 800g,Food,1,1,35,35,0,35,30,5,,Admin,A,1
171108903 PMzHHVzJCuuAUZduCvkbh4,PS001000899,12/2/17,18:00,8.85175E+12,,มอคโคน่า ทรีโอ-ริช 18g x5ซอง,Food,2,1,20,40,0,40,30,10,,Admin,A,1
f024,PS001000900,12/2/17,18:02,8.85021E+12,,เด็ก-ซีอิ๊วดำ สูตร 5 เจ 940g,Food,2,1,29,58,0,58,49.16,8.84,,Admin,A,1
171107139 PMalm3c4UeugTD2AnQppmS,PS001000901,12/2/17,18:09,8.99991E+12,,My Baby แป้งเด็ก-Fresh fruit 50g,Personal Care,1,1,12,12,0,12,9,3,,Admin,A,1
1712011118n7uFjcNKZb1eMj3QEwcY,PS001000901,12/2/17,18:09,8.85021E+12,,เด็ก-ซีอิ้ว ซอสเหยาะจิ้ม 150ml,Food,1,1,17,17,0,17,0,17,,Admin,A,1
u085,PS001000901,12/2/17,18:09,8.85193E+12,,สบู่นกแก้ว#พฤกษา 110g,Personal Care,1,1,15,15,0,15,9.8,5.2,,Admin,A,1
f063,PS001000901,12/2/17,18:09,8.85004E+12,,นกพิราบ-ผักกาด ฝาดึง 140g,Food,1,1,19,19,0,19,15,4,,Admin,A,1
171108838 PM8Oi0q7HRmDCtd4jkGU8E,PS001000901,12/2/17,18:09,8.85324E+12,,กุ้งไทย กะปิแท้ 90g,Food,1,1,13,13,0,13,11.1,1.9,,Admin,A,1
1711071130 AMOQnPzwfoXcw1ha5PJh33,PS001000901,12/2/17,18:09,8.85193E+12,,โอโม พลัส Paris 100g,Cleaners,1,1,10,10,0,10,8,2,,Admin,A,1
171107446 PM7dyld45rzJi5Sca4jxbs,PS001000901,12/2/17,18:09,8.85193E+12,,แชมพูซันซิล เขียว 70ml,Personal Care,1,1,20,20,0,20,16.5,3.5,,Admin,A,1
171112745 PM0XuxVbI8VfrnO7oUiTu9,PS001000902,12/2/17,18:10,PLU8004466438,,ไข่ไก่ เบอร์ 1 x10,Food,2,10,35,70,0,70,60,10,,Admin,A,1
171112745 PM0XuxVbI8VfrnO7oUiTu9,PS001000902,12/2/17,18:10,PLU3070973427,,ไข่ไก่ เบอร์ 1 x30,Food,3,30,95,285,0,285,270,15,,Admin,A,1
f026,PS001000903,12/2/17,18:12,8.85021E+12,,เด็ก-เต้าเจี้ยว สูตร 1 เจ 800g,Food,1,1,35,35,0,35,30,5,,Admin,A,1
f059,PS001000903,12/2/17,18:12,8.85015E+12,,มรกต-น้ำมันปาล์ม 1000cc,Food,1,1,36,36,0,36,28.75,7.25,,Admin,A,1
u161,PS001000904,12/2/17,18:13,8.8503E+12,,Scotch-Brite 3M-แผ่นใยขัด,Cleaners,2,1,14,28,0,28,18,10,,Admin,A,1
1711242231DzJBQWfxb9RlKTnDTz3D,PS001000905,12/2/17,18:26,8.85036E+12,,สบู่เดทตอล#คูล 65g ฟ้า,Personal Care,4,1,13.75,55,0,55,42.4,12.6,,Admin,A,1
u002,PS001000905,12/2/17,18:26,8.85001E+12,,คอลเกต-ยอดนิยม 170g,Personal Care,2,1,50,100,0,100,80,20,,Admin,A,1
171107410 PM2hZRKjT4V2yGxxp8d5Lx,PS001000905,12/2/17,18:26,8.85193E+12,,ครีมอาบลักซ์#Soft Touch 80ml,Personal Care,2,1,20,40,0,40,30,10,,Admin,A,1
171107448 PMsWWf6ljWesLQd9IueHH2,PS001000905,12/2/17,18:26,8.85193E+12,,แชมพูซันซิล ชมพู 70ml,Personal Care,3,1,20,60,0,60,49.5,10.5,,Admin,A,1
171107445 PMlu4Z8p50ihK4UwWIG2iJ,PS001000905,12/2/17,18:26,8.85193E+12,,แชมพูซันซิล ส้ม 70ml,Personal Care,1,1,20,20,0,20,16.5,3.5,,Admin,A,1
171107447 PMYxaWwmGhosJQS5nn1LZl,PS001000905,12/2/17,18:26,8.85193E+12,,แชมพูซันซิล เหลือง 70ml,Personal Care,1,1,20,20,0,20,16.5,3.5,,Admin,A,1
f068,PS001000905,12/2/17,18:26,8.85099E+12,,มาม่า-ต้มยำกุ้ง 55g,Food,1,1,6,6,0,6,4.93,1.07,,Admin,A,1
